STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
,Other Territory,2024-11-01T00:00:00Z,66,88,57,145,2.196969697,,
,Other Territory,2024-12-01T00:00:00Z,117,117,45,162,1.384615385,,0
,Other Territory,2024-10-01T00:00:00Z,89,78,41,119,1.337078652,,
,Other Territory,2024-09-01T00:00:00Z,85,83,28,111,1.305882353,,
,Other Territory,2024-08-01T00:00:00Z,65,66,10,76,1.169230769,,
,Other Territory,2025-03-01T00:00:00Z,87,85,12,97,1.114942529,,
,Other Territory,2024-07-01T00:00:00Z,65,59,12,71,1.092307692,,
,Lakshadweep,2024-11-01T00:00:00Z,206,124,99,223,1.082524272,,
,Ladakh,2023-04-01T00:00:00Z,2214,725,1630,2355,1.063685637,,
,Ladakh,2023-07-01T00:00:00Z,2186,814,1511,2325,1.063586459,,
,Gujarat,2024-11-01T00:00:00Z,648655,598190,89238,687428,1.059774456,,
,Ladakh,2024-01-01T00:00:00Z,2225,903,1435,2338,1.050786517,,
,Ladakh,2023-05-01T00:00:00Z,2377,888,1607,2495,1.049642406,,
,Other Territory,2025-01-01T00:00:00Z,148,124,31,155,1.047297297,,
,Ladakh,2023-10-01T00:00:00Z,2260,869,1477,2346,1.038053097,,
,Haryana,2024-11-01T00:00:00Z,301692,238517,73177,311694,1.033153017,,
,Maharashtra,2024-11-01T00:00:00Z,888208,684264,232356,916620,1.031988003,,
38,Ladakh,2023-03-01T00:00:00Z,6380,2301,4280,6581,1.031504702,,
12,Arunachal Pradesh,2023-02-01T00:00:00Z,9242,2991,6539,9530,1.031162086,,
,Ladakh,2023-09-01T00:00:00Z,6920,2554,4581,7135,1.031069364,,
38,Ladakh,2023-02-01T00:00:00Z,2316,983,1402,2385,1.029792746,,
,Lakshadweep,2024-07-01T00:00:00Z,206,113,99,212,1.029126214,,
,Chhattisgarh,2024-11-01T00:00:00Z,79924,49058,33054,82112,1.027376007,,
,Ladakh,2023-12-01T00:00:00Z,7143,3070,4254,7324,1.025339493,,
12,Arunachal Pradesh,2023-03-01T00:00:00Z,12544,3191,9662,12853,1.024633291,,
,Andaman and Nicobar Islands,2024-11-01T00:00:00Z,3653,1814,1928,3742,1.024363537,,
,Telangana,2024-11-01T00:00:00Z,357723,203496,162937,366433,1.024348448,,
,Ladakh,2023-06-01T00:00:00Z,6689,2471,4380,6851,1.024218867,,
,Sikkim,2023-06-01T00:00:00Z,9037,3567,5682,9249,1.023459113,,
,Sikkim,2023-04-01T00:00:00Z,5644,2256,3512,5768,1.021970234,,
,Arunachal Pradesh,2023-12-01T00:00:00Z,13473,3814,9943,13757,1.021079195,,
,Arunachal Pradesh,2023-04-01T00:00:00Z,9571,2217,7553,9770,1.020791976,,
,Mizoram,2024-11-01T00:00:00Z,6362,1636,4858,6494,1.020748192,,
,Goa,2024-11-01T00:00:00Z,24559,16860,8203,25063,1.020522008,,
,Uttar Pradesh,2024-11-01T00:00:00Z,1002813,535789,487232,1023021,1.020151314,,
31,Lakshadweep,2022-11-01T00:00:00Z,171,102,72,174,1.01754386,,
,Arunachal Pradesh,2023-09-01T00:00:00Z,13231,3844,9615,13459,1.017232258,,
,Lakshadweep,2023-07-01T00:00:00Z,185,99,89,188,1.016216216,,
,Chandigarh,2024-11-01T00:00:00Z,17458,14418,3323,17741,1.016210333,,
,Arunachal Pradesh,2023-07-01T00:00:00Z,9811,2714,7250,9964,1.015594741,,
11,Sikkim,2023-03-01T00:00:00Z,8802,3188,5750,8938,1.015451034,,
,Ladakh,2023-08-01T00:00:00Z,2396,864,1569,2433,1.015442404,,
,Arunachal Pradesh,2024-01-01T00:00:00Z,10213,2804,7566,10370,1.015372564,,
,Arunachal Pradesh,2024-03-01T00:00:00Z,13925,3448,10684,14132,1.01486535,,
,Sikkim,2023-07-01T00:00:00Z,5910,2387,3608,5995,1.014382403,,
,Meghalaya,2023-07-01T00:00:00Z,13869,4590,9476,14066,1.014204341,,
,Arunachal Pradesh,2023-06-01T00:00:00Z,12982,3444,9718,13162,1.013865352,,
,Ladakh,2024-03-01T00:00:00Z,7407,2920,4589,7509,1.013770757,,
,Lakshadweep,2024-10-01T00:00:00Z,219,113,109,222,1.01369863,,
31,Lakshadweep,2023-03-01T00:00:00Z,224,113,114,227,1.013392857,,
,Lakshadweep,2023-06-01T00:00:00Z,225,122,106,228,1.013333333,,
,Lakshadweep,2023-09-01T00:00:00Z,229,123,109,232,1.013100437,,
,Meghalaya,2023-06-01T00:00:00Z,25920,8579,17673,26252,1.012808642,,
,Goa,2023-12-01T00:00:00Z,36551,23698,13321,37019,1.012804027,,
,Puducherry,2024-11-01T00:00:00Z,18832,10643,8430,19073,1.012797366,,
11,Sikkim,2023-02-01T00:00:00Z,5628,2393,3305,5698,1.012437811,,
,Andhra Pradesh,2024-11-01T00:00:00Z,264651,145135,122589,267724,1.011611519,,
16,Tripura,2023-03-01T00:00:00Z,25358,10534,15113,25647,1.011396798,,
,Arunachal Pradesh,2023-10-01T00:00:00Z,10040,2854,7297,10151,1.011055777,,
,Lakshadweep,2023-04-01T00:00:00Z,184,93,93,186,1.010869565,,
,Karnataka,2024-11-01T00:00:00Z,703942,452468,258987,711455,1.010672754,,
,Goa,2024-01-01T00:00:00Z,23833,15204,8882,24086,1.010615533,,
,Lakshadweep,2023-11-01T00:00:00Z,193,103,92,195,1.010362694,,
,West Bengal,2024-11-01T00:00:00Z,413376,254501,163118,417619,1.010264263,,
,Goa,2023-09-01T00:00:00Z,35915,22067,14209,36276,1.010051511,,
