state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
97,Other Territory,2020,7,4,108,135.349173,26,2665,920.3930053,161,9423,1845.051467
1,JAMMU AND KASHMIR,2020,6,3512,141971,2448.052229,1978,29589,2529.899393,15777,170913,4952.05543
2,HIMACHAL PRADESH,2020,6,6668,222641,3959.165393,4424,205055,9035.430207,18492,234826,7078.745016
3,PUNJAB,2020,6,52130,1285595,25534.70424,39423,655363,19666.07928,56091,648671,20177.43112
4,CHANDIGARH,2020,6,1787,19451,293.8908201,4295,64047,1135.782094,6579,79257,1601.38414
5,UTTARAKHAND,2020,6,9685,390672,6771.462894,6820,254310,13273.65503,20178,323646,9750.622952
6,HARYANA,2020,6,55235,1750591,29671.72834,49298,1758033,42725.82602,78813,1170862,39894.12675
7,DELHI,2020,6,45114,559528,18833.06355,94917,1004940,25696.95108,83966,809404,28160.17495
8,RAJASTHAN,2020,6,61070,1404634,27483.32616,41148,994696,23919.06001,77363,768829,25429.60837
9,UTTAR PRADESH,2020,6,94224,2783317,56002.64991,58372,899373,42937.75658,146613,1571891,51871.13412
10,BIHAR,2020,6,5716,418645,8224.81661,5242,53463,1996.202967,50577,502994,13717.25143
11,SIKKIM,2020,6,112,3072,47.46285644,129,4781,2212.688799,1373,22454,759.5977789
12,ARUNACHAL PRADESH,2020,6,97,1342,23.67669818,156,1201,61.23434132,2360,22418,413.3515363
13,NAGALAND,2020,6,77,805,35.81648656,171,1318,59.57869944,1981,18369,395.7340665
14,MANIPUR,2020,6,55,2947,48.13579678,63,231,10.13138162,2124,32185,548.9379491
15,MIZORAM,2020,6,16,455,6.661750828,55,307,27.30602431,1510,20465,308.2548772
16,TRIPURA,2020,6,920,21491,337.6751138,284,1762,173.3141214,3614,30853,893.3358713
17,MEGHALAYA,2020,6,272,9247,189.6233415,333,21998,411.835939,2641,31096,641.8579148
18,ASSAM,2020,6,10063,353331,6264.734872,8279,154010,5177.936932,20303,195405,7377.880518
19,WEST BENGAL,2020,6,32568,1255254,30390.20124,31317,527699,22408.44486,46762,628467,26989.58847
20,JHARKHAND,2020,6,7709,338506,6503.796491,6542,156573,8026.194187,21830,224334,8354.966354
21,ODISHA,2020,6,11840,633067,11508.26847,4620,175303,14849.01534,27557,297669,11697.54429
22,CHHATTISGARH,2020,6,4921,184083,4755.274395,6918,147501,9317.409173,20296,275740,10408.36441
23,MADHYA PRADESH,2020,6,13938,361928,7699.767734,16484,311480,15129.35887,59049,594656,21591.05437
24,GUJARAT,2020,6,105621,2453201,64733.72566,102166,2168602,72725.42309,93804,939238,50438.49089
25,DAMAN AND DIU,2020,6,931,23480,677.1631314,1505,104850,3110.564611,1855,48073,2344.98666
26,DADRA AND NAGAR HAVELI,2020,6,1133,41853,1643.617614,1783,148055,6690.345753,2455,73532,4410.371635
27,MAHARASHTRA,2020,6,89631,3314233,79784.69837,78051,2280033,82130.03817,134892,1402289,73182.24525
29,KARNATAKA,2020,6,78053,2940570,48967.46912,37704,970222,37469.29742,87841,1161648,41919.27827
30,GOA,2020,6,1346,50050,784.645518,1302,43463,3447.691438,5454,77126,2908.034466
31,LAKSHADWEEP,2020,6,0,0,0,2,3,0.0030002,26,266,4.074172372
32,KERALA,2020,6,31008,1039087,14586.8425,11210,113326,6092.606483,41779,446707,12536.30834
33,TAMIL NADU,2020,6,61557,2421600,47233.06755,52250,1216245,45097.76738,83630,973748,40504.85548
34,PUDUCHERRY,2020,6,798,28215,884.7639392,1521,68508,2720.017715,4160,63356,2075.933502
35,ANDAMAN AND NICOBAR,2020,6,11,215,12.89094513,63,286,45.70764528,719,6490,154.9636465
36,TELANGANA,2020,6,30755,1349277,23426.65916,26316,501023,21863.38278,50449,698449,26783.41349
37,ANDHRA PRADESH,2020,6,27899,1129620,19486.90681,16735,331355,23213.10965,56152,604864,21902.8105
38,LADAKH,2020,6,9,116,3.845907113,15,94,2.369256373,531,5416,190.2114557
97,Other Territory,2020,6,3,113,51.87580339,22,1710,656.9913097,125,7003,1550.36948
1,JAMMU AND KASHMIR,2020,5,2388,81513,1667.638934,1166,19189,1841.427952,10800,85674,3465.512707
2,HIMACHAL PRADESH,2020,5,5800,167027,2936.004238,3594,146679,7004.090873,15131,157195,5499.581089
